id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
643,"Supergirl","94","100","100","100","100","75","Kara Zor-El","No alter egos found.","Linda Lang","Argo City, Krypton","Superman/Batman #8 (May, 2004)","DC Comics","good","Female","Kryptonian","5'5","165 cm","120 lb","54 kg","Blue","Blond","Intern, Adventurer, Student, Crime-Fighter","Metropolis","Formerly Justice League of America, Supermen of America, Justice League of Amazons, Kent Family, Superman Family, Kryptonian Science Guild, Teen Titans, Legion of Super-Heroes, Outsiders","Zor-El (father), Allura In-Ze (mother), Jor-El II (uncle, deceased), Lara Lor-Van (aunt, deceased), Kal-El (Superman,Clark Kent, cousin), Lois Lane (cousin-in-law), Jonathan Kent (adopted uncle), Martha Kent (adopted aunt), Kon-El (Superboy, Conner Kent, clone cousin, deceased), Nim-El (uncle), Dondra Klu-Ta (aunt), Don-El (cousin), Jor-El I (praternal grandfather, deceased), Nimda An-Dor (paternal grandmother, deceased), Lar-Van (maternal grandfather, deceased), Lara Rok-Var (maternal grandmother, deceased), Val-El, Sul-El, Tala-El, Hatu-El, Gam-El (ancestors, deceased)","Kara-El",Kara Kent,Flamebird,Trinity Child,Teen of Tomorrow,"The Girl of Steel","The Maid of Might","The Princess of Power","Mighty Maid","Claire Connors","Bluebird",,,,,,,,
644,"Superman","94","100","100","100","100","85","Clark Kent","Superman Prime One-Million","Clark Joseph Kent","Krypton","ACTION COMICS #1","Superman Prime One-Million","good","Male","Kryptonian","6'3","191 cm","225 lb","101 kg","Blue","Black","Reporter for the Daily Planet and novelist","Metropolis","Justice League of America, The Legion of Super-Heroes (pre-Crisis as Superboy); Justice Society of America (pre-Crisis Earth-2 version); All-Star Squadron (pre-Crisis Earth-2 version)","Lois Lane (wife), Jor-El (father, deceased), Lara (mother, deceased), Jonathan Kent (adoptive father), Martha Kent (adoptive mother), Seyg-El (paternal grandfather, deceased), Zor-El (uncle, deceased), Alura (aunt, deceased), Supergirl (Kara Zor-El, cousin), Superboy (Kon-El/Conner Kent, partial clone)","The Man of Steel",the Man of Tomorrow,the Last Son of Krypton,Big Blue,the Metropolis Marvel,"the Action Ace",,,,,,,,,,,,,
645,"Swamp Thing","88","95","25","100","100","55","Alec Holland","No alter egos found.","Green Man","-","Swamp Thing #1 (November, 1972)","DC Comics","bad","Male","God / Eternal","-","0 cm","- lb","0 kg","Red","No Hair","Planet Elemental, former Biochemist","-","formerly (Parliament of Trees; Parliament of Stones, Parliament of Flames, Parliament of Waves, and Parliament of Vapors), The Parliament of Worlds","Larry Holland (father, deceased); Alice Holland (mother, deceased); Edward Holland (brother); Linda Holland (first wife, deceased); Abigail Holland (second wife); Tef� Holland (daughter); Gregori Arcane (father-in-law, deceased)","Swampy",the Weed,Le Bon Gumbo,Smalsh-Yegger (on Rann),,,,,,,,,,,,,,,
646,"Swarm","75","18","50","90","38","35","Fritz von Meyer","No alter egos found.","-","-","Champions #14 (July, 1977)","Marvel Comics","bad","Male","Mutant","6'5","196 cm","104 lb","47 kg","Yellow","No Hair","Ph.D. in toxicology & entomology","Formerly South Africa","Leader of the All-New Sinister Six; formerly Exterminators, Nazi Party","-",,,,,,,,,,,,,,,,,,,
647,"Sylar","75","10","12","28","91","56","Gabriel Gray","No alter egos found.","Gabriel Sylar","-","-","NBC - Heroes","bad","Male","null","-","0 cm","- lb","0 kg","-","-","Timepiece restorer","New York, NY","-","Virginia Gray (mother)","Drew O'Grady",Dr. Suresh,Zane Taylor,Isaac Mendez,,,,,,,,,,,,,,,
648,"Synch","75","67","23","28","74","56","Everett Thomas","No alter egos found.","-","-","X-Men #36 (1994)","Marvel Comics","good","Male","null","5'11","180 cm","165 lb","74 kg","Brown","Black","Student","Massachusetts Academy","Generation X","Stan Thomas (father), Ida Thomas (mother), Kim Ho Twae (adopted sister)",,,,,,,,,,,,,,,,,,,
649,"T-1000","75","34","33","100","100","75","Cyberdyne Systems Series 1000 Terminator","No alter egos found.","T-1001","-","Terminator 2: Judgment Day","Dark Horse Comics","bad","Male","Android","6'0","183 cm","325 lb","146 kg","-","-","-","-","Skynet","-","T-1002",,,,,,,,,,,,,,,,,,
650,"T-800","75","34","17","60","73","65","Cyberdyne Systems Series 800 Terminator Model 101","No alter egos found.","Terminator","-","The Terminator (1984)","Dark Horse Comics","bad","Male","Cyborg","-","0 cm","390 lb","176 kg","Red","-","Assassin","-","Skynet","-",,,,,,,,,,,,,,,,,,,
651,"T-850","75","80","25","90","83","75","Cyberdyne Systems Series 850 Terminator","No alter egos found.","Terminator","-","Terminator 3: Rise of the Machines (2003)","Dark Horse Comics","bad","Male","Cyborg","-","0 cm","440 lb","198 kg","Red","-","Assassin","-","Skynet","-",,,,,,,,,,,,,,,,,,,
652,"T-X","75","63","29","85","100","80","Cyberdyne Systems Series X Terminator","No alter egos found.","-","-","-","Dark Horse Comics","bad","Female","Cyborg","-","0 cm","330 lb","149 kg","-","-","Assassin / Genesis Overseer","-","Skynet","-",,,,,,,,,,,,,,,,,,,
653,"Taskmaster","75","12","50","20","63","100","Tony Masters","No alter egos found.","-","-","Avengers #195","Marvel Comics","bad","Male","Human","6'2","188 cm","220 lb","99 kg","Brown","Brown","Sheriff, Assassin, Mercenary; formerly Military Trainer, Combat Instructor, Head of Initiative training camp","Bagalia; A.I.M Island, Taskmaster's Academy","-","Mercedes Merced (wife), Jeanne Foucault (Finesse, alleged daughter)",,,,,,,,,,,,,,,,,,,
654,"Tempest","38","10","45","28","66","60","Angel Salvadore Bohusk","Angel Salvadore","-","-","New X-Men #118 (November, 2001)","Angel Salvadore","good","Female","null","5'4","163 cm","121 lb","54 kg","Brown","Black","-","-","Formerly New Warriors; Special Class","Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;",,,,,,,,,,,,,,,,,,,
655,"Thanos","100","100","33","100","100","80","Thanos","No alter egos found.","The Mad Titan","Titan","Iron Man #55","Marvel Comics","bad","Male","Eternal","6'7","201 cm","985 lb","443 kg","Red","No Hair","Conqueror, worshiper of Death","Mobile, formerly Sanctuary II, Titan","Zodiac (ally); formerly Infinity Watch, Defenders","A'Lars (father): Sui-San (mother, deceased; Eros (brother);Kronos (paternal Grandfather, deceased); Daina (paternal grandmother, deceased); Zuras (uncle, deceased); Thena (cousin); Gamora (foster daughter);Nebula (alleged granddaughter); Rot (""child"" by Death);","Masterlord",The Overmaster,Chins,,,,,,,,,,,,,,,,
656,"The Cape","38","10","23","32","22","64","Vince Faraday","No alter egos found.","Cape","-","The Cape S01E01 (2011)","null","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","Trip Faraday (son), Dana Thompson-Faraday (wife)",,,,,,,,,,,,,,,,,,,
657,"The Comedian","63","14","17","10","12","80","Edward Morgen Blake","No alter egos found.","Eddie Blake","-","Watchmen #1 (September, 1986)","DC Comics","neutral","Male","Human","6'2","188 cm","225 lb","101 kg","Brown","Black","Former Adventurer; Government Agent","New York City","Formerly Crimebusters, Minutemen","Silk Spectre (Laurel ""Laurie"" Juspeczyk) (daughter)",,,,,,,,,,,,,,,,,,,
658,"Thing","75","84","21","100","38","80","Ben Grimm","No alter egos found.","Blackbeard the Pirate","New York City, New York","Fantastic Four #1 (November, 1961)","Marvel Comics","good","Male","Human / Radiation","6'0","183 cm","500 lb","225 kg","Blue","No Hair","Adventurer, former Air Force test pilot","Baxter Building, New York City, New York (formerly) Four Freedoms Plaza, Pier Four;","Fantastic Four formerly Avengers West Coast, Unlimited Class Wrestling Federation, Thunderiders","Daniel (father, deceased), Elsie (mother, deceased), Daniel Jr. (brother, deceased), Jacob ('Jake,' uncle), Alyce (aunt, deceased), Pentunia ('Penny,' aunt, Jacob's second wife)","Grim Ben",Dr. Josiah Verpoorteen,,,,,,,,,,,,,,,,,
659,"Thor","69","100","83","100","100","100","Thor Odinson","Rune King Thor","Donald Blake","Asgard","Journey into Mystery #83 (August, 1962)","Rune King Thor","good","Male","Asgardian","6'6","198 cm","640 lb","288 kg","Blue","Blond","King of Asgard; formerly EMS Technician; Physician","New York, New York","Avengers","Odin (father), Gaea (mother), Frigga (step-mother), Loki (step-brother), Vidar (half-brother), Buri (paternal great-grandfather), Bolthorn (maternal great grandfather), Bor (grandfather), Bestla (grandmother), Vili (uncle), Ve (uncle), Sigyn (former sister-in-law), Hela (alleged niece), Jormungand (alleged nephew), Fernis Wolf (alleged nephew)","Sigurd Jarlson",Jake Olsen,Donar the Mighty,,,,,,,,,,,,,,,,
660,"Thor Girl","75","83","70","84","100","70","Tarene","No alter egos found.","Asgard Lass","-","Thor, Volume 2, #22; (as Thor Girl) Thor, Volume 2, #33","Marvel Comics","good","Female","Asgardian","5'9","175 cm","317 lb","143 kg","Blue","Blond","-","Camp Hammond; FormerlyNew York City, Formerly Asgard","Ally of the Asgardians","-","the Designate",the Destroyer,Hammerette,Hammer Girl,Hammer Lass,"Tara Olson","Spirit of the Jewel","the Supreme","Thoreta","Thorita","Thor Lass",,,,,,,,
661,"Thunderbird","50","32","27","32","13","70","John Proudstar","No alter egos found.","-","Camp Verde, Arizona","Giant-Size X-Men #1 (1975)","Marvel Comics","good","Male","null","6'1","185 cm","225 lb","101 kg","Brown","Black","Former adventurer, student, Marine","Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","X-Men, formerly US Marine Corp","Unidentified grandfather (deceased), Neal Proudstar (father, deceased), Maria Proudstar (mother, deceased), James Proudstar (Warpath, brother)",,,,,,,,,,,,,,,,,,,
662,"Thunderbird II","null","null","null","null","null","null","James Proudstar","Warpath","-","-","-","Warpath","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
663,"Thunderbird III","null","null","null","null","null","null","Neal Shaara","No alter egos found.","-","Bangladesh","-","Marvel Comics","good","Male","null","5'9'","175 cm","165 lb","74 kg","Brown","Black","Adventurer","-","None; formerly X-Men, X-Corporation","Sanjit (brother,deceased)",,,,,,,,,,,,,,,,,,,
664,"Thunderstrike","63","80","70","84","42","72","Eric Kevin Masterson","No alter egos found.","Thor","-","(as Masterson) Thor #391; (as Thor) Thor #432; (as Thunderstrike) Thunderstrike #1","Marvel Comics","good","Male","null","6'6","198 cm","640 lb","288 kg","Blue","Blond","(as Thunderstrike) Adventurer, crimefighter, (as Masterson) Architect","-","(At time of death) Avengers; (Formerly) Legion of the Unliving, Thor Corps","Marcy Masterson Steele (wife, divorced), Kevin Masterson (son)",,,,,,,,,,,,,,,,,,,
665,"Thundra","38","81","32","64","26","54","Thundra","No alter egos found.","-","-","Fantastic Four #129 (December, 1972)","Marvel Comics","good","Female","null","7'2","218 cm","350 lb","158 kg","Green","Red","Ruler, warrior","Mobile; United Sisterhood Republic of North America","Lady Liberators; Empress of the Sisterhood; formerly Frightful Four, Fantastic Four, former agent of Roxxon Oil Corporation","Superia (alleged ancestor), Arkon (consort) Lyra (alternate reality daughter)",,,,,,,,,,,,,,,,,,,
666,"Tiger Shark","38","72","46","70","51","28","Todd Arliss","No alter egos found.","Arlys Tigershark","Pasadena, California","Sub-Mariner #5 (September, 1968)","Marvel Comics","bad","Male","Human","6'1","185 cm","450 lb","203 kg","Grey","No Hair","-","-","Villains for Hire, Lethal Legion, Dr. Dorcas; Masters of Evil; Namor's Deep Six; Attuma's Deep Six; Offenders","Diane Newell (sister); Mara (wife, deceased); Walter Newell (brother-in-law);",,,,,,,,,,,,,,,,,,,
667,"Tigra","63","32","53","38","33","90","Greer Grant Nelson","No alter egos found.","The Cat","Presumably Chicago Illinois USA","The Cat #1","Marvel Comics","good","Female","null","5'10","178 cm","180 lb","81 kg","Green","Auburn","Laboratory assistant, model, adventurer, NYC police","New York City, New York USA","Avengers","Mr. Grant (father), Mrs. Grant (mother, deceased), William Nelson (husband, deceased)","Greer Sorenson",,,,,,,,,,,,,,,,,,
668,"Tinkerer","100","10","23","14","10","14","Phineas Mason","No alter egos found.","-","-","Amazing Spider-Man #2 (1963)","Marvel Comics","bad","Male","null","5'4","163 cm","120 lb","54 kg","Brown","White","Inventor and technician serving the underworld","-","-","Deborah Watts Mason (wife, deceased), Rick Mason (aka Agent, son, deceased)",,,,,,,,,,,,,,,,,,,
669,"Titan","null","null","null","null","null","null",,"No alter egos found.","-","-","-","HarperCollins","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
670,"Toad","50","34","58","56","70","28","Mortimer Toynbee","No alter egos found.","The Terrible Toad-King","York, England","X-Men #4 (March, 1964)","Marvel Comics","neutral","Male","Mutant","5'9","175 cm","169 lb","76 kg","Black","Brown","Former criminal","-","198; (formerly) Brotherhood of Evil Mutants, Misfits; (formerly) associate of Gideon, Emma Frost","-",,,,,,,,,,,,,,,,,,,
671,"Toxin","56","73","70","84","82","70","Patrick Mulligan","No alter egos found.","Larry","New York City","Venom vs. Carnage #1 (2004)","Marvel Comics","good","Male","Symbiote","6'2","188 cm","215 lb","97 kg","Blue","Brown","Police officer","-","Ally of Spider-Man and Black Cat","Gina Mulligan (wife), Edward Mulligan (son), Mr. Mulligan (father), Mrs. Mulligan (mother), Carnage (""father""), Venom (""grandfather"")",,,,,,,,,,,,,,,,,,,
672,"Toxin","75","80","42","85","97","70","Eddie Brock","Anti-Venom, Venom","Eddie","San Francisco, California","Venom Vol 2 #17","Anti-Venom","good","Male","Symbiote","6'3","191 cm","260 lb","117 kg","Black","Blond","Vigilante; former symbiote hunter, shelter attendant, government operative, journalist for the Daily Globe","New York, New York","Formerly; temporary partner of Agent Venom, Savage Six, Sinister Six, Revengers, former partner of Vengeance, Spider-Man, Scarlet Spider. Volunteer at F.E.A.S.T.","Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Anti-Venom Symbiote (former symbiote, uncle and former brother, deceased), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)","Sister Edwina","""Ed""",Edwin Brock,Venom,Lethal Protector,"998th","Anti-Venom","White Venom",,,,,,,,,,,
673,"Tracy Strauss","null","null","null","null","null","null","Tracy Strauss","No alter egos found.","Ice Queen","Beverly Hills, CA","-","NBC - Heroes","good","Female","null","-","0 cm","- lb","0 kg","-","-","Former aide to Senator Nathan Petrelli, Former Pinehearst consultant, former political adviser to Governor Robert Malden","-","-","Niki Sanders (estranged triplet sister, deceased), Barbara (estranged triplet sister), W. Strauss (father), Rebecca Rosenthal (mother)",,,,,,,,,,,,,,,,,,,
674,"Trickster","null","null","null","null","null","null","Giovanni Giuseppe","No alter egos found.","James Jesse","-","Flash #113 (July, 1960)","DC Comics","-","Male","Human","6'0","183 cm","179 lb","81 kg","Blue","Blond","Special effects designer, con artist","Keystone City","-","-",,,,,,,,,,,,,,,,,,,
675,"Trigon","null","99","null","null","null","null",,"No alter egos found.","Lucifer","-","New Teen Titans #5 (March, 1981)","DC Comics","bad","Male","God / Eternal","-","0 cm","- lb","0 kg","Yellow","Black","-","-","-","Belial (son), Ruskoff (son), Suge (son), Raven (daughter)","Satan,The Devil",Lord Trigon,Master Trigon,King Trigon,Conqueror of Worlds,"Ruler of the Five Under Realms",,,,,,,,,,,,,
676,"Triplicate Girl","63","10","23","42","44","42","Luornu Durgo","No alter egos found.","Duo Damsel","-","Teen Titans/Legion Special #1","DC Comics","good","Female","null","5'6","168 cm","130 lb","59 kg","Purple","Brown","-","Earth, 31st century","Legion of Super-Heroes","-","Una",Triad,,,,,,,,,,,,,,,,,
677,"Triton","56","63","50","65","35","55","Triton","No alter egos found.","-","Island of Attilan, Atlantic Ocean","Fantastic Four #45 (December, 1965)","Marvel Comics","good","Male","Inhuman","6'2","188 cm","190 lb","86 kg","Green","No Hair","-","-","Inhuman Royal Family, Universal Inhumans, Royal Guard, New Inhuman Elite; formerly Shi'ar Army Elite Corps & Imperial Guard[citation needed], Namor's Deep Six","Mander, Azur (parents, deceased), Karnak (brother, deceased), Magnar, Zeta (paternal grandparents), Kobar, La (maternal grandparents), Rynda (paternal aunt), Ambur (maternal aunt) ,Black Bolt, Maximus, Medusa, Crystal (cousins)",,,,,,,,,,,,,,,,,,,
678,"Two-Face","88","10","12","14","9","28","Harvey Dent","No alter egos found.","Apollo","-","-","DC Comics","bad","Male","null","6'0","183 cm","182 lb","82 kg","-","-","Reformed criminal; former district attorney","-","-","Duela Dent (Daughter), Gilda Dent (Wife), Poison Ivy (Fianc�e), Rachel Dawes (Girlfriend)",,,,,,,,,,,,,,,,,,,
679,"Ultragirl","50","80","35","70","35","80","Tsu-Zana","No alter egos found.","Suzy Sherman","-","-","Marvel Comics","good","Female","null","5'6","168 cm","233 lb","105 kg","Blue","Blond","Model","-","Initiative, New Warriors","Toby Sherman (father)","Ultra-Girl",,,,,,,,,,,,,,,,,,
680,"Ultron","88","83","42","100","100","64","Ultron","No alter egos found.","Crimson Cowl","Created in Cresskill, New Jersey","Avengers #54 (July, 1968)","Marvel Comics","bad","Male","Android","6'9","206 cm","735 lb","331 kg","Red","-","Mass murderer, scientist, would-be world conqueror, ruler of Phalanx","-","Phalanx; formerly Sons of Yinsen, Lethal Legion, Masters of Evil","Hank Pym (Yellowjacket, creator, ""father""), Janet Van Dyne (Wasp, regarded by Ultron as ""mother"" due to marriage to Pym), Jocasta (creation, former mate), Alkhema (creation, former mate, deactivated), Vision (creation, ""son""), Victor Mancha (creation, son), Rex (creation, pet, deactivated), Robos & Bio-Synthezoids (creations of Alkhema, ""grandchildren"";, destroyed); Simon Williams (Wonder Man), Eric Williams (Grim Reaper) & Wanda Maximoff (Scarlet Witch), all regarded by Ultron as part of his ""extended family"" due to their familial connections with the Vision","Great Devil",Great Ultron,Iron Man,Mark,Omega,"Ultimate Ultron","Ultron-5 (and hundreds of other sequential numerical designations)","Ultron Mark Twelve","Ho Yinsen",,,,,,,,,,
